Department of Water and Sanitation          SAFMAXLEVELFLOW Output 2026/08/09 01:20

Monthly Maximum Values  ordered by  DATE

W1H004   Mlalazi River @ Eshowe

Hydro,,MAX,MAX,MAX
Year,Date,Time,Level (m),Flow (cumec)
    ,19590914, 08:00,  0.085,    0.129,
1960,19591020, 08:00,  0.183,    0.521,
    ,19591109, 08:00,  0.149,    0.296,
    ,19591218, 08:00,  0.183,    0.521,
    ,19600101, 00:00,  0.045,    0.049,
    ,19600215, 08:00,  0.213,    0.776,
    ,19600314, 08:00,  0.213,    0.776,
    ,19600401, 00:00,  0.029,    0.038,
    ,19600515, 08:00,  0.152,    0.310,
    ,19600607, 08:00,  0.091,    0.142,
    ,19600704, 08:00,  0.064,    0.084,
    ,19600816, 08:00,  0.049,    0.055,
    ,19600923, 08:00,  0.085,    0.129,
1961,19601024, 08:00,  0.091,    0.142,
    ,19601121, 08:00,  0.274,    1.446,
    ,19601231, 08:00,  0.366,    2.836,
    ,19610118, 08:00,  0.323,    2.130,
    ,19610211, 08:00,  0.305,    1.863,
    ,19610304, 08:00,  0.134,    0.253,
    ,19610412, 08:00,  0.323,    2.130,
    ,19610512, 08:00,  0.116,    0.204,
    ,19610619, 08:00,  0.098,    0.159,
    ,19610701, 00:00,  0.055,    0.067,
    ,19610808, 08:00,  0.067,    0.090,
    ,19610930, 08:00,  0.158,    0.347,
1962,19611030, 08:00,  0.177,    0.476,
    ,19611113, 08:00,  0.238,    1.026,
    ,19611214, 08:00,  0.189,    0.568,
    ,19620118, 08:00,  0.171,    0.433,
    ,19620217, 08:00,  0.158,    0.347,
    ,19620328, 08:00,  0.146,    0.287,
    ,19620426, 08:00,  0.061,    0.078,
    ,19620503, 08:00,  0.061,    0.078,
    ,19620601, 00:00,  0.014,    0.006,
    ,19620701, 00:00,  0.006,    0.002,
    ,19620819, 08:00,  0.061,    0.078,
    ,19620901, 08:00,  0.030,    0.025,
1963,19621030, 08:00,  0.091,    0.142,
    ,19621114, 08:00,  0.152,    0.310,
    ,19621219, 08:00,  0.152,    0.310,
    ,19630106, 08:00,  0.128,    0.236,
    ,19630201, 08:00,  0.213,    0.776,
    ,19630317, 08:00,  0.457,    4.655,
    ,19630413, 08:00,  0.274,    1.446,
    ,19630501, 00:00,  0.091,    0.142,
    ,19630629, 08:00,  0.238,    1.026,
    ,19630704, 08:00,  0.457,    4.655,
    ,19630801, 00:00,  0.116,    0.204,
    ,19630902, 08:00,  0.085,    0.129,
1964,19631025, 08:00,  0.158,    0.347,
    ,19631127, 08:00,  0.213,    0.776,
    ,19631222, 08:00,  0.122,    0.220,
    ,19640110, 08:00,  0.305,    1.863,
    ,19640202, 08:00,  0.274,    1.446,
    ,19640314, 08:00,  0.091,    0.142,
    ,19640428, 08:00,  0.213,    0.776,
    ,19640501, 00:00,  0.065,    0.087,
    ,19640621, 08:00,  0.049,    0.055,
    ,19640705, 08:00,  0.049,    0.055,
    ,19640807, 08:00,  0.067,    0.090,
    ,19640917, 08:00,  0.037,    0.036,
1965,19641028, 08:00,  0.177,    0.476,
    ,19641121, 08:00,  0.104,    0.173,
    ,19641201, 08:00,  0.158,    0.347,
    ,19650107, 08:00,  0.085,    0.129,
    ,19650201, 00:00,  0.006,    0.002,
    ,19650301, 00:00,  0.002,    0.001,
    ,19650403, 08:00,  0.006,    0.002,
    ,19650501, 00:00,  0.006,    0.002,
    ,19650617, 08:00,  0.012,    0.004,
    ,19650701, 00:00,  0.006,    0.002,
    ,19650801, 00:00,  0.006,    0.002,
    ,19650906, 11:42,  0.010,    0.003,
1966,19651022, 13:30,  0.058,    0.072,
    ,19651114, 09:36,  0.158,    0.347,
    ,19651207, 11:48,  0.082,    0.122,
    ,19660128, 07:24,  0.211,    0.757,
    ,19660208, 06:42,  0.185,    0.536,
    ,19660301, 00:00,  0.078,    0.114,
    ,19660413, 04:12,  0.071,    0.099,
    ,19660521, 17:48,  0.052,    0.061,
    ,19660613, 20:54,  0.028,    0.023,
    ,19660702, 01:12,  0.011,    0.004,
    ,19660826, 08:42,  0.032,    0.028,
    ,19660901, 00:00,  0.006,    0.002,
1967,19661013, 16:48,  0.012,    0.004,
    ,19661119, 20:42,  0.038,    0.037,
